Altium Designer Pick and Place Locations
C:\Users\matt\Dropbox\Ventilator Shit\PCB\alarm_module\pcb\Project Outputs for alarm board\Pick Place\Pick Place for PCB2.csv

========================================================================================================================
File Design Information:

Date:       01/04/20
Time:       22:53
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"C6","SC_EB_5R5_474_M","62.0000","50.0000","62.0000","50.0000","64.5000","50.0000","TopLayer","180","SC EB 5R5 474 M"
"S1","SFN-1255-0540-35P6.5","15.0000","50.0000","15.0000","50.0000","11.7500","50.0000","TopLayer","360","SFN-1255-0540-35P6.5"
"J2","618009231121","39.0000","49.7500","39.0000","53.0000","33.4600","48.3300","TopLayer","180","618009231121"
"C4","CAPC1210(3225)190_N","23.0000","43.4900","23.0000","43.4900","24.5000","43.4900","TopLayer","180","CAP 10uF 50V 1210(3225)"
"C3","CAPC0805(2012)145_N","34.0000","43.4900","34.0000","43.4900","34.9000","43.4900","TopLayer","180","CAP 10uF 10V 0805(2012)"
"C2","CAPC0805(2012)145_N","29.0000","43.4900","29.0000","43.4900","29.9000","43.4900","TopLayer","180","CAP 10uF 10V 0805(2012)"
"F1","SEAANDLAND_1812","39.0000","40.4900","39.0000","40.4900","39.0000","42.9800","TopLayer","270","mSMD110-33V"
"D2","ONSC-SMA-2-403D-02_V","18.0000","40.4900","18.0000","40.4900","18.0000","42.4900","TopLayer","270","MURA110T3G"
"U3","SOT-223_N","50.7500","39.2500","50.7500","39.2500","53.6500","36.9500","TopLayer","180","LD1117S33CTR"
"SW_L1","431481031816","5.0000","37.5000","5.0000","37.5000","7.2500","33.8750","BottomLayer","270","431481031816"
"U2","SOT-223_N","29.0000","37.0000","29.0000","37.0000","31.9000","34.7000","TopLayer","180","LD1117S33CTR"
"R4","RESC0402(1005)_N","28.3640","26.1860","28.3640","26.1860","28.3640","26.6860","TopLayer","270","TBD"
"R6","RESC0402(1005)_N","34.9680","25.6780","34.9680","25.6780","34.9680","26.1780","TopLayer","270","TBD"
"D1","AA3528PWC","3.0000","25.0000","3.0000","25.0000","3.0000","23.4500","BottomLayer","90","TBD: RED color?"
"J1","1.27mm_2x5_SMD_Header","57.5000","22.5000","57.5000","22.5000","59.4500","19.9600","TopLayer","90","ARM Cortex JTAG"
"C1","CAPC1005X55X25ML05T10","47.4140","21.3600","47.4140","21.3600","47.9040","21.3600","TopLayer","180","GRM155R71C104KA88D"
"U1","STM-TSSOP20_L","42.3340","20.9790","42.3340","20.9790","45.1340","18.0540","TopLayer","180","STM32F030F4P6"
"R1","RESC0402(1005)_N","47.4140","20.0900","47.4140","20.0900","47.9140","20.0900","TopLayer","180","10K 5% 0402(1005)"
"R5","RESC0402(1005)_N","34.8410","19.5820","34.8410","19.5820","34.8410","20.0820","TopLayer","270","TBD"
"R2","RESC0402(1005)_N","47.4140","17.9310","47.4140","17.9310","46.9140","17.9310","TopLayer","360","10K 5% 0402(1005)"
"SW_L2","431481031816","5.0000","12.5000","5.0000","12.5000","7.2500","8.8750","BottomLayer","270","431481031816"
"R8","RESC0402(1005)_N","49.1760","11.3220","49.1760","11.3220","49.6760","11.3220","TopLayer","180","2K2 5% 0402(1005)"
"R7","RESC0402(1005)_N","44.8580","11.3220","44.8580","11.3220","45.3580","11.3220","TopLayer","180","2K2 5% 0402(1005)"
"R9","RESC0402(1005)_N","45.0001","6.0001","45.0001","6.0001","45.5001","6.0001","TopLayer","180","TBD"
"R3","RESC0402(1005)_N","49.0001","6.0001","49.0001","6.0001","49.5001","6.0001","TopLayer","180","1K 5%"
"C5","CAPC0603(1608)55_L","35.0001","6.0001","35.0001","6.0001","35.7001","6.0001","TopLayer","180","CAP 4.7uF 10V 0603(1608)"
"R10","RESC0402(1005)_N","29.0001","5.0001","29.0001","5.0001","29.0001","5.5001","TopLayer","270","TBD"
"L1","FNR201610S","54.0001","5.0001","54.0001","5.0001","54.7001","5.0001","TopLayer","180","FNR201610S2R2MT"
"Q2","SOT95P280X125-3N","25.0001","4.0001","25.0001","4.0001","26.3751","3.0501","TopLayer","180","AO3418"
"Q1","SOT95P280X125-3N","40.0001","4.0001","40.0001","4.0001","41.3751","3.0501","TopLayer","180","AO3418"
