Altium Designer Pick and Place Locations
C:\Users\matt\Dropbox\Ventilator Shit\PCB\alarm_module\pcb\Project Outputs for alarm_module\Pick Place\Pick Place for alarm_module.csv

========================================================================================================================
File Design Information:

Date:       09/04/20
Time:       17:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"D7","5050RGB","50.0000","62.0000","50.0000","62.0000","47.8000","60.4000","BottomLayer","0","RBG5050"
"D6","5050RGB","90.0000","62.0000","90.0000","62.0000","87.8000","60.4000","BottomLayer","0","RBG5050"
"D3","5050RGB","10.0000","62.0000","10.0000","62.0000","7.8000","60.4000","BottomLayer","0","RBG5050"
"C6","CAPC1005X55X25ML05T10","73.0000","50.0000","73.0000","50.0000","73.4900","50.0000","TopLayer","180","GRM155R71C104KA88D"
"J2","RJ45_59_8P8C_LED","95.5850","50.0000","98.0000","50.0000","91.6500","45.5550","TopLayer","90","RJ45_59_8P8C_LED"
"SW_L1","431481031816","8.5000","49.5000","8.5000","49.5000","10.7500","45.8750","BottomLayer","270","431481031816"
"R7","RESC0603(1608)_L","80.0000","47.9000","80.0000","47.9000","80.0000","47.2000","TopLayer","90","120R 5% 0603(1608)"
"J1","1.27mm_2x5_SMD_Header","48.2000","47.5000","48.2000","47.5000","50.7400","49.4500","TopLayer","180","ARM Cortex JTAG"
"U5","ADI-R-8_L","74.8000","46.6000","74.8000","46.6000","72.4500","48.5050","TopLayer","360","ADM3488ARZ"
"R8","RESC0603(1608)_L","80.0000","45.2000","80.0000","45.2000","80.0000","45.9000","TopLayer","270","120R 5% 0603(1608)"
"R2","RESC0402(1005)_N","39.8000","44.1000","39.8000","44.1000","39.8000","43.6000","TopLayer","90","10K 5% 0402(1005)"
"C1","CAPC1005X55X25ML05T10","37.8000","43.6000","37.8000","43.6000","38.2900","43.6000","TopLayer","180","GRM155R71C104KA88D"
"C7","CAPC1005X55X25ML05T10","33.7000","40.6000","33.7000","40.6000","33.7000","41.0900","TopLayer","270","GRM155R71C104KA88D"
"R1","RESC0402(1005)_N","33.0000","37.4000","33.0000","37.4000","32.5000","37.4000","TopLayer","360","10K 5% 0402(1005)"
"U1","STM-LQFP48_M","40.5000","37.0000","40.5000","37.0000","36.4000","39.7500","TopLayer","360","STM32F030C8T6"
"C8","CAPC1005X55X25ML05T10","33.6000","35.7000","33.6000","35.7000","33.6000","36.1900","TopLayer","270","GRM155R71C104KA88D"
"P2","HDR1X7","83.0000","33.3800","83.0000","25.7600","83.0000","25.7600","BottomLayer","90","Header 7"
"J3","DC-044A-2.5A-2.0","92.8500","31.7500","99.6000","33.0000","89.1000","36.4000","TopLayer","270","DC-044A-2.5A-2.0"
"C9","CAPC1005X55X25ML05T10","43.2000","30.2000","43.2000","30.2000","42.7100","30.2000","TopLayer","360","GRM155R71C104KA88D"
"R18","RESC0402(1005)_N","4.8000","29.8000","4.8000","29.8000","4.8000","29.3000","TopLayer","90","TBD"
"R17","RESC0402(1005)_N","6.9000","29.7000","6.9000","29.7000","6.9000","29.2000","TopLayer","90","TBD"
"R16","RESC0402(1005)_N","8.9000","29.6000","8.9000","29.6000","8.9000","29.1000","TopLayer","90","TBD"
"Q1","SOT95P280X125-3N","11.6750","26.9750","11.6750","26.9750","13.0500","26.0250","TopLayer","180","AO3418"
"R19","RESC0402(1005)_N","14.6750","26.5750","14.6750","26.5750","14.6750","27.0750","TopLayer","270","10k 5%"
"R6","RESC0402(1005)_N","16.1750","26.5750","16.1750","26.5750","16.1750","27.0750","TopLayer","270","TBD"
"SW_L2","431481031816","9.0000","22.5000","9.0000","22.5000","11.2500","18.8750","BottomLayer","270","431481031816"
"Q2","SOT95P280X125-3N","31.2000","19.7000","31.2000","19.7000","32.5750","18.7500","TopLayer","180","AO3418"
"Q3","SOT95P280X125-3N","11.6750","19.4000","11.6750","19.4000","13.0500","18.4500","TopLayer","180","AO3418"
"R15","RESC0402(1005)_N","34.1000","19.3000","34.1000","19.3000","34.1000","19.8000","TopLayer","270","10k 5%"
"R5","RESC0402(1005)_N","35.3000","19.3000","35.3000","19.3000","35.3000","19.8000","TopLayer","270","51 5%"
"R20","RESC0402(1005)_N","14.7000","18.9000","14.7000","18.9000","14.7000","19.4000","TopLayer","270","10k 5%"
"R13","RESC0402(1005)_N","16.0000","18.9000","16.0000","18.9000","16.0000","19.4000","TopLayer","270","TBD"
"R3","RESC0402(1005)_N","30.4000","17.2000","30.4000","17.2000","29.9000","17.2000","TopLayer","360","1K 5%"
"D2","ONSC-SMA-2-403D-02_V","78.5000","16.3000","78.5000","16.3000","76.5000","16.3000","TopLayer","360","MURA110T3G"
"SW1","CKCP-JS102011SAQN-3_V","96.5000","15.1000","96.5000","15.1000","95.1250","12.6000","TopLayer","90","JS102011SAQN"
"L1","FNR201610S","40.7000","13.9000","40.7000","13.9000","41.4000","13.9000","TopLayer","180","FNR201610S2R2MT"
"C2","CAPC1210(3225)190_N","45.3000","12.3000","45.3000","12.3000","45.3000","10.8000","TopLayer","90","CAP 10uF 50V 1210(3225)"
"Q4","SOT95P280X125-3N","11.9000","12.0000","11.9000","12.0000","13.2750","11.0500","TopLayer","180","AO3418"
"R21","RESC0402(1005)_N","14.7000","11.5000","14.7000","11.5000","14.7000","12.0000","TopLayer","270","10k 5%"
"R14","RESC0402(1005)_N","16.3000","11.5000","16.3000","11.5000","16.3000","12.0000","TopLayer","270","TBD"
"F1","SEAANDLAND_1812","78.8000","11.4000","78.8000","11.4000","81.2900","11.4000","TopLayer","180","mSMD110-33V"
"U4","SOT95P280X130-5N","41.3000","10.7000","41.3000","10.7000","42.6750","9.7500","TopLayer","180","BL8542C"
"R12","RESC0402(1005)_N","4.9000","10.2000","4.9000","10.2000","4.9000","10.7000","TopLayer","270","TBD"
"R11","RESC0402(1005)_N","3.6000","10.2000","3.6000","10.2000","3.6000","10.7000","TopLayer","270","TBD"
"R4","RESC0402(1005)_N","7.0000","10.1000","7.0000","10.1000","7.0000","10.6000","TopLayer","270","TBD"
"C5","CAPC0603(1608)55_L","38.2000","10.0000","38.2000","10.0000","38.2000","10.7000","TopLayer","270","CAP 4.7uF 10V 0603(1608)"
"S1","SFN-1255-0540-35P6.5","27.5000","10.0000","27.5000","10.0000","30.7500","10.0000","TopLayer","180","SFN-1255-0540-35P6.5"
"C4","CAPC1210(3225)190_N","69.9000","8.9000","69.9000","8.9000","69.9000","7.4000","TopLayer","90","CAP 10uF 50V 1210(3225)"
"R10","RESC0402(1005)_N","42.4000","8.3000","42.4000","8.3000","42.9000","8.3000","TopLayer","180","TBD"
"R9","RESC0402(1005)_N","40.2000","8.3000","40.2000","8.3000","40.7000","8.3000","TopLayer","180","TBD"
"U3","SOT-223_N","63.5000","8.3000","63.5000","8.3000","66.4000","6.0000","TopLayer","180","LD1117S33CTR"
"D1","5050RGB","9.8833","8.1167","9.8833","8.1167","7.6833","6.5167","BottomLayer","360","RBG5050"
"D5","5050RGB","90.0000","8.0000","90.0000","8.0000","87.8000","6.4000","BottomLayer","0","RBG5050"
"D4","5050RGB","50.0000","8.0000","50.0000","8.0000","47.8000","6.4000","BottomLayer","0","RBG5050"
"C3","CAPC0805(2012)145_N","61.7000","3.3000","61.7000","3.3000","62.6000","3.3000","TopLayer","180","CAP 10uF 10V 0805(2012)"
