Altium Designer Pick and Place Locations
C:\Users\matt\Dropbox\Ventilator Project\PCB\alarm_module\alarm_to_uart\Project Outputs for alarm_to_uart\Pick Place\Pick Place for alarm_to_uart.csv

========================================================================================================================
File Design Information:

Date:       14/04/20
Time:       21:22
Revision:   206c73ff1f54a57fef5663c630d4ce07ab9a99d2
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"R6","RESC0603(1608)_L","139.0000","122.0000","139.0000","122.0000","139.0000","122.7000","TopLayer","270","100R"
"R4","RESC0603(1608)_L","135.0000","122.0000","135.0000","122.0000","135.0000","122.7000","TopLayer","270","10k"
"C1","CAPC1005X55X25ML05T10","128.2100","121.6000","128.2100","121.6000","128.7000","121.6000","TopLayer","180","GRM155R71C104KA88D"
"R7","RESC0603(1608)_L","135.0000","119.0000","135.0000","119.0000","135.0000","119.7000","TopLayer","270","10k"
"C4","CAPC1005X55X25ML05T10","139.0000","119.0000","139.0000","119.0000","139.0000","118.5100","TopLayer","90","TBD"
"U1","ADI-R-8_L","129.7000","117.6000","129.7000","117.6000","127.3500","119.5050","TopLayer","360","ADM3488ARZ"
"J1","RJ45_59_8P8C_LED","150.0850","117.5000","152.5000","117.5000","146.1500","113.0550","TopLayer","90","RJ45_59_8P8C_LED"
"R5","RESC0603(1608)_L","135.0000","116.0000","135.0000","116.0000","135.0000","115.3000","TopLayer","90","10k"
"C5","CAPC1005X55X25ML05T10","139.0000","116.0000","139.0000","116.0000","139.0000","116.4900","TopLayer","270","TBD"
"R2","RESC0603(1608)_L","137.0000","116.0000","137.0000","116.0000","137.0000","116.7000","TopLayer","270","50R"
"R8","RESC0603(1608)_L","139.0000","113.0000","139.0000","113.0000","139.0000","112.3000","TopLayer","90","100R"
"R3","RESC0603(1608)_L","135.0000","113.0000","135.0000","113.0000","135.0000","112.3000","TopLayer","90","10k"
"R1","RESC0603(1608)_L","137.0000","113.0000","137.0000","113.0000","137.0000","112.3000","TopLayer","90","50R"
"FTDI","HDR1X6","117.5000","111.2700","117.5000","117.6200","117.5000","117.6200","TopLayer","270","Header 6"
"C2","CAPC0805(2012)145_N","129.8000","109.5000","129.8000","109.5000","128.9000","109.5000","TopLayer","360","CAP 10uF 10V 0805(2012)"
"U2","SOT-223_N","131.3000","104.7000","131.3000","104.7000","128.4000","107.0000","TopLayer","360","LD1117S33CTR"
"C3","CAPC0805(2012)145_N","125.2000","103.6000","125.2000","103.6000","125.2000","104.5000","TopLayer","270","CAP 10uF 10V 0805(2012)"
